City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bambous Virieux,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
3,Cape Town,ZA,80.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
8,Port Moresby,PG,76.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
10,Maiduguri,NG,84.74,scattered clouds,11.8464,13.1603,Kagel Mari Police Station
14,Lorengau,PG,81.19,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
16,Phangnga,TH,86.92,light rain,8.4509,98.5298,Sunimit Mansion
21,Maningrida,AU,79.38,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
22,Barra Do Garcas,BR,82.98,broken clouds,-15.89,-52.2567,Pousada Tropical
27,Contamana,PE,76.68,moderate rain,-7.3333,-75.0167,Shiringal Touristic Park
37,Port Alfred,ZA,78.46,clear sky,-33.5906,26.891,The Halyards Hotel
39,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
43,Port-Gentil,GA,81.12,broken clouds,-0.7193,8.7815,Fengshui Residence
46,Kavaratti,IN,78.6,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
51,Santa Rosa,PH,79.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
54,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
62,Caravelas,BR,86.2,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
65,Vila Velha,BR,85.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
69,Belmonte,BR,84.7,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
73,Carutapera,BR,84.02,overcast clouds,-1.195,-46.02,Lidera
84,Touros,BR,88.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
85,Dingle,PH,75.69,few clouds,10.9995,122.6711,SEGAYA PROPERTY
87,Bengkulu,ID,75.94,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
99,Faanui,PF,81.28,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
102,Tshikapa,CD,81.7,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
105,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
108,Rio Branco,BR,81.21,broken clouds,-9.9747,-67.81,Inácio Palace Hotel
109,Rio Grande,BR,78.91,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
113,Gigmoto,PH,78.33,broken clouds,13.7796,124.39,Cj's Travellers Inn
117,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
118,Thiruvananthapuram,IN,82.38,mist,8.4833,76.9167,Hotel Residency Tower
125,Atuona,PF,78.48,scattered clouds,-9.8,-139.0333,Villa Enata
128,Ndjole,GA,89.38,overcast clouds,-0.1783,10.7649,Motel Kédyann
135,Mongo,TD,87.85,clear sky,12.1844,18.692999999999998,Résidences du Programme FIDA
136,Namibe,AO,77.63,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
137,Phichit,TH,82.99,broken clouds,16.25,100.4167,Rommakham Homestay
146,Manono,CD,76.19,light rain,-7.3,27.4167,Hotel hewa bora
148,Sao Joao Da Barra,BR,86.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
151,Mogadishu,SO,77.45,scattered clouds,2.0371,45.3438,Hotel Juba
152,Ati,TD,85.48,clear sky,13.2154,18.3353,
157,Butaritari,KI,81.75,light rain,3.0707,172.7902,Isles Sunset Lodge
158,Biak,ID,75.83,overcast clouds,-0.9131,122.8766,Penginapan Kim
160,Sisophon,KH,84.42,scattered clouds,13.5859,102.9737,Pyramid Hotel
161,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
164,Port Hedland,AU,82.45,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
168,Kayan,MM,75.34,clear sky,16.9056,96.5631,ဖြိုးရတနာ ရွှေဆိုင်
176,Koumac,NC,79.59,overcast clouds,-20.5667,164.2833,Le Monitel
177,Ribas Do Rio Pardo,BR,81.59,overcast clouds,-20.4431,-53.7592,Pousada Avenida
178,Kulhudhuffushi,MV,80.47,scattered clouds,6.6221,73.07,Haajy Guest House 1
180,Yulara,AU,80.44,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
184,Hithadhoo,MV,82.6,overcast clouds,-0.6,73.0833,Scoop Guest House
189,Kruisfontein,ZA,76.89,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
192,Coxim,BR,78.57,overcast clouds,-18.5067,-54.76,Hotel Avenida
194,Mayumba,GA,80.4,light rain,-3.432,10.6554,LIKWALE LODGE
197,Margosatubig,PH,77.41,few clouds,7.5777,123.1658,Ojic billiard center
201,Tessaoua,NE,86.67,clear sky,13.7574,7.9874,Benin Dan Kaabou Heberge
206,Padang,ID,78.13,overcast clouds,-0.9492,100.3543,Mercure Padang
207,Pedro Juan Caballero,PY,80.56,clear sky,-22.5472,-55.7333,Hotel Internacional
212,Progreso,MX,76.1,few clouds,21.2833,-89.6667,Playa Linda Hotel
213,Sao Felix Do Xingu,BR,82.29,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
221,Souillac,MU,80.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
222,Bandarbeyla,SO,76.03,broken clouds,9.4942,50.8122,JABIR HOTEL
