City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,75,10.36,light rain
1,Praia Da Vitoria,PT,38.7333,-27.0667,64.65,68,20,11.3,few clouds
2,Saint George,US,37.1041,-113.5841,45.36,40,0,0.0,clear sky
3,Cape Town,ZA,-33.9258,18.4232,80.11,55,0,18.41,clear sky
4,Hervey Bay,AU,-25.2986,152.8535,66.31,78,63,17.31,broken clouds
5,Keti Bandar,PK,24.1447,67.4497,71.71,76,0,10.0,clear sky
6,Saint-Denis,FR,48.9167,2.3333,51.51,55,0,11.5,clear sky
7,Pampas,PE,-12.4,-74.9,57.67,67,90,6.76,overcast clouds
8,Port Moresby,PG,-9.4431,147.1797,76.42,88,20,3.44,few clouds
9,Tymovskoye,RU,50.8456,142.655,8.01,96,100,4.41,light snow
10,Maiduguri,NG,11.8464,13.1603,84.74,16,39,13.56,scattered clouds
11,Ushuaia,AR,-54.8,-68.3,67.66,52,0,4.61,clear sky
12,Chuy,UY,-33.6971,-53.4616,73.45,59,75,15.57,broken clouds
13,Anadyr,RU,64.75,177.4833,-23.3,76,0,4.47,clear sky
14,Lorengau,PG,-2.0226,147.2712,81.19,81,100,4.76,overcast clouds
15,Torbay,CA,47.6666,-52.7314,20.88,72,17,5.99,few clouds
16,Phangnga,TH,8.4509,98.5298,86.92,90,68,2.15,light rain
17,Nianzishan,CN,47.5167,122.8833,7.95,84,5,4.18,clear sky
18,Pangnirtung,CA,66.1451,-65.7125,-29.2,62,75,0.0,broken clouds
19,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,69,67,10.04,broken clouds
20,Ostrovnoy,RU,68.0531,39.5131,15.53,87,99,19.51,overcast clouds
21,Maningrida,AU,-12.0667,134.2667,79.38,84,98,4.99,overcast clouds
22,Barra Do Garcas,BR,-15.89,-52.2567,82.98,74,75,3.58,broken clouds
23,Kagoro,NG,9.6,8.3833,91.96,10,72,7.49,broken clouds
24,Xifeng,CN,42.7372,124.7222,15.44,58,21,5.19,few clouds
25,Hobart,AU,-42.8794,147.3294,62.46,75,75,9.22,broken clouds
26,Saskylakh,RU,71.9167,114.0833,-12.06,95,91,10.29,overcast clouds
